日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
糠	ぬか	名	糠
抜かす，吐かす	ぬかす	他五	失去力气或劲头；省略、跳过；胡说、扯
抜き	ぬき	名，接尾	去掉；食品里省去通常放入的东西；开瓶子起子的略语；连胜
抜き出す	ぬきだす	他五	拔出、选出
抜き取る	ぬきとる	他五	拔出、拿掉；选出；窃取
抜きん出る	ぬきんでる	自下一	出类拔萃
抜く	ぬく	他五	拔出；选出；除掉；窃取；省掉；超过；胜过；（作补助动词）做到底
脱ぐ	ぬぐ	他五	脱掉、摘掉；脱下丢开
拭う	ぬぐう	他五	擦掉；消除、洗刷
温もり	ぬくもり	名	温和、暖和
抜け殻	ぬけがら	名	（蝉、蛇等）蜕下的皮或壳；失神的人
抜け出す	ぬけだす	自五	溜；开始脱落
抜け出る	ぬけでる	自下一	逃出、摆脱；杰出、出众
抜け目	ぬけめ	名	漏洞、疏忽
抜ける	ぬける	自下一	脱落、掉下；溜走；漏掉；穿过；消失；迟钝
脱げる	ぬげる	自下一	脱落下来
主	ぬし	名	主人；物主、所有者；老资格
盗む	ぬすむ	他五	偷盗；偷闲；背着、偷偷地；剽窃
布	ぬの	名	布；（接在其他名词之前表示）平、水平
布目	ぬのめ	名	布纹；布纹式花样
沼	ぬま	名	池沼
滑滑	ぬめぬめ	副，サ変	光滑、滑溜溜
濡らす	ぬらす	他五	润湿、弄湿
塗り物	ぬりもの	名	漆器
塗る	ぬる	他五	涂、抹
温い	ぬるい	形	半冷不热、不够热；不严厉
ぬるぬる	ぬるぬる	副，サ変	滑溜；粘乎乎
濡れ衣	ぬれぎぬ	名	冤枉
濡れ手	ぬれて	名	湿手
濡れる	ぬれる	自下一	湿、淋湿
根	ね	名	根；根底；根源、根据
値	ね	名	价格；价值、声价
値上げ	ねあげ	名，サ変	加价
音色	ねいろ	名	音色
値打ち	ねうち	名	价值
姉さん	ねえさん	名	（敬）姐姐；（对年轻女子的称呼）小姐；（对旅馆、饭店等的女服务员的称呼）大姐
願い	ねがい	名	愿望、请求
願い出る	ねがいでる	他下一	提出申请
願う	ねがう	他五	期望；请求、要求
寝返り	ねがえり	名	翻身；背叛
寝かす	ねかす	他五	使……睡觉；放倒；积压、存放不用；使……发酵
葱	ねぎ	名	大葱、香葱
労う	ねぎらう	他五	慰劳
値切る	ねぎる	他五	还价
寝癖	ねぐせ	名	头发睡乱；睡相；幼儿睡觉时的坏习惯
猫	ねこ	名	猫；艺妓
猫舌	ねこじた	名	不能吃热食的人
根こそぎ	ねこそぎ	名，副	根除；全部
寝言	ねごと	名	梦话；胡说、唠叨
値頃	ねごろ	名	价钱合适
寝転ぶ	ねころぶ	自五	横卧、随便躺下
値下げ	ねさげ	名，サ変	减价
根差す	ねざす	自五	生根、扎根；起因、由来
螺子	ねじ	名	螺钉、螺丝；上发条的装置
拗ける	ねじける	自下一	弯弯曲曲；（性情）乖僻
捻じ込む	ねじこむ	自他五	拧进；塞进；提出严重抗议
捻じ曲げる	ねじまげる	他下一	扭曲、歪曲
捻る，捩る	ねじる	他五	扭、拧
捻じれる，捩じれる	ねじれる	自下一	扭歪、乖僻
鼠	ねずみ	名	老鼠
ねた	ねた	名	素材；戏法等的道具；机关；（俗称）证据
寝たきり	ねたきり	名，サ変	（因衰老或病）卧床不起
妬ましい	ねたましい	形	嫉妒
妬む，嫉む	ねたむ	他五	嫉妒
強請る	ねだる	他五	撒娇、央求、强求
値段	ねだん	名	价格
熱	ねつ	名	热；热度；热情
熱意	ねつい	名	热忱、热情
熱気	ねっき	名	热空气；热情、蓬勃
熱狂	ねっきょう	名，サ変	狂热、兴奋
根付く	ねづく	自五	扎根、成活
熱血	ねっけつ	名	热血、热情
根っ子	ねっこ	名	根、根本、树桩
熱心	ねっしん	名，形動	热心、热情
熱する	ねっする	サ変	变热；兴奋、热衷；加热
捏造	ねつぞう	名，サ変	捏造
熱帯	ねったい	名	热带
熱中	ねっちゅう	名，サ変	热衷于
熱っぽい	ねつっぽい	形	发烧的、发热的；热情的
根強い	ねづよい	形	坚固的、根深蒂固的
熱烈	ねつれつ	形動	热烈的
寝床	ねどこ	名	卧室、床、铺
根無し	ねなし	名	无根；无根据
粘つく	ねばつく	自五	发粘、粘上
粘り強い	ねばりづよい	形	粘性强；坚忍不拔、有毅力
粘る	ねばる	自五	粘、发粘；坚持不懈
涅槃	ねはん	名	涅磐；圆寂
値引き	ねびき	名，サ変	减价、降价
根深い	ねぶかい	形	根深；由来已久的
値札	ねふだ	名	标价牌
寝坊	ねぼう	形動，名，サ変	睡懒觉的（人）
寝惚ける	ねぼける	自下一	睡意朦胧；色调不鲜明
根回し	ねまわし	名，サ変	（为移植或使果树增产）切断树的须根；（为达到目的、取得结果）事先做好有关方面的工作
寝耳	ねみみ	名	睡觉时的耳朵、睡觉中听到的
眠い	ねむい	形	想睡的
眠気	ねむけ	名	困倦、睡意
眠る	ねむる	自五	睡；长眠、死；埋藏、放置、不被利用
根元	ねもと	名	植物的根；根本
狙いどころ	ねらいどころ	名	着眼点
狙う	ねらう	他五	瞄准；伺机；以……为目标
練り歯磨き	ねりはみがき	名	牙膏
寝る	ねる	自下一	躺下；睡觉；因病卧床；积压
練る，煉る	ねる	自他五	列队游行；揉、和（面粉、馅等）；加工、锤炼；提高、修养
練れる	ねれる	自下一	熬炼好、成熟的；人经磨练而成熟
念	ねん	名	想法、念头；用心，注意
年	ねん	名	年、一年；年限的略语
念入り	ねんいり	名，形動	精心、用心
年賀	ねんが	名	贺年、拜年
年がら年中	ねんがらねんじゅう	副，サ変	一年到头、终年
年間	ねんかん	名	年间；（年号使用）期间
念願	ねんがん	名，サ変	愿望、希望
年忌	ねんき	名	每年的忌辰
年季	ねんき	名	奉公、效劳的年限；积累的经验
年貢	ねんぐ	名	岁贡、租税、地租
年功	ねんこう	名	资历、工龄；（长年工作掌握的）熟练技术，老练
懇ろ	ねんごろ	形動	亲切、殷勤；亲昵、亲密
年始	ねんし	名	年初；拜年
年中	ねんじゅう	名，副	一年间；始终
捻出	ねんしゅつ	名，サ変	冥思苦想出；设法安排、筹措
年少	ねんしょう	名，形動	年轻的
燃焼	ねんしょう	名，サ変	燃烧；竭尽全力做、不遗余力
念ずる	ねんずる	サ変	（向神佛）祈祷；祈愿
年代	ねんだい	名	年代；过去的年月；年龄层；年月日
粘着	ねんちゃく	名，サ変	粘着、粘附
年長	ねんちょう	名	年长
粘土	ねんど	名	粘土
念頭	ねんとう	名	念头
年配	ねんぱい	名	大致的年龄；中老年
念仏	ねんぶつ	名，サ変	念佛
年俸	ねんぽう	名	年俸
年末	ねんまつ	名	年末、岁尾
燃料	ねんりょう	名	燃料
年輪	ねんりん	名	（树木的）年轮；（事物逐年成长、变化的）历史过程
年齢	ねんれい	名	年龄
野	の	名，接頭	原野；野生的
能	のう	名	能力；（日本古典戏剧）能乐
農	のう	名	农业
脳	のう	名	脑；头脑、头脑的功能
農家	のうか	名	农家、农户
能楽	のうがく	名	（日本古典戏剧）能乐
納棺	のうかん	名，サ変	入棺、入殓
農閑期	のうかんき	名	农闲期
納期	のうき	名	交货期限；交税（款）期限
農業	のうぎょう	名	农业
濃厚	のうこう	形動	浓厚的；男女关系密切、亲密；浓厚、显著
農耕	のうこう	名	农耕
農場	のうじょう	名	农场
納税	のうぜい	名，サ変	纳税
農村	のうそん	名	农村
農地	のうち	名	农地、农田
濃度	のうど	名	浓度
能無し	のうなし	名	无能、没用的人
能筆	のうひつ	名	擅长书法（的人）、写字好（的人）
納品	のうひん	名，サ変	（向订户）交货
納付	のうふ	名，サ変	向乡政府机关等缴纳款项
能弁	のうべん	名，形動	能言善辩、雄辩
脳味噌	のうみそ	名	脑、脑汁、智力
農民	のうみん	名	农民
脳裏	のうり	名	脑海里
能率	のうりつ	名	效率
納涼	のうりょう	名，サ変	乘凉、消暑
能力	のうりょく	名	才能；（法律上）行为能力
農林	のうりん	名	农林业
逃す	のがす	他五	错过、漏掉
逃れる	のがれる	自下一	逃脱；逃避、避免；远离
軒	のき	名	屋檐
軒並み	のきなみ	名，副	房檐栉比；全部、毫无例外的
除け者	のけもの	名	被疏远的人、受排挤的人
退ける	のける	他下一	移开、使离开
除ける	のける	他下一	排除
鋸	のこぎり	名	锯子
残す	のこす	他五	剩下；留下
残らず	のこらず	副，サ変	全部
残る	のこる	自五	留下；剩余；残留；流产后世
のさばる	のさばる	自五	任意妄为、横行霸道
伸し上がる	のしあがる	自五	爬上（高位）、飞黄腾达
伸し掛かる	のしかかる	自五	压在……上
伸す	のす	自他五	发展；（活动范围等）延伸；熨平；打倒
載せる	のせる	他下一	放在……上；装载、装运；登载
乗せる	のせる	他下一	使……乘坐；传播、传导；和着（节拍、节奏）；骗人、欺骗；吸收参见、让参加
覗かせる	のぞかせる	他下一	露出事物的一部分
除く	のぞく	他五	除去；除外
覗く	のぞく	自他五	露处（物体的）一部分；从缝隙中看；窥视；粗略地看一下；向下看
望ましい	のぞましい	形	符合心愿、理想的
望む	のぞむ	他五	远望、眺望；期望
臨む	のぞむ	自五	面对、朝向；进发；面临、面对、遭遇
後	のち	名	……之后；将来
後後	のちのち	名	今后
乗っ取る	のっとる	他五	夺取、占领；劫持
則る	のっとる	自五	遵守、按照
のっぽ	のっぽ	名，形動	高个
喉	のど	名	喉咙、咽喉；歌声
のどやか	のどやか	形動	悠然的、悠静的、风和日丽的
罵る	ののしる	他五	骂
伸ばす	のばす	他五	伸展；伸直、使……平坦；稀释；打倒、打趴在地；扩展、发展
延ばす	のばす	他五	延长日期、时间
野放し	のばなし	名	（家畜）放养；放任、不加管束
野原	のはら	名	原野、野地
伸び縮み	のびちぢみ	名，サ変	伸缩、弹性
伸び悩む	のびなやむ	自五	停滞不前、行市呆滞
伸び伸び	のびのび	副，サ変	舒展、轻松、愉快
延び延び	のびのび	形動	延期
伸びる	のびる	自上一	变长、（褶皱等）伸展；失去弹性；增长、发展；筋疲力尽
延びる	のびる	自上一	延长、延期；时间变长
延べ	のべ	名	总计
伸べる	のべる	他上一	伸出；延迟、延缓
延べる	のべる	他上一	铺开
述べる	のべる	他上一	叙述、阐述
上せる	のぼせる	他上一	提出、提到
逆上せる	のぼせる	自下一	头晕；上火；沉溺、热衷于；骄傲、飘飘然
上り	のぼり	名	朝上移动、爬、登；上行（列车、巴士等）
上る	のぼる	自五	向上移动；溯流航行；就高位；从地方向首府移动；达到、高达；被提起
登る	のぼる	自五	登、爬、攀
昇る	のぼる	自五	升腾、升起
呑まれる	のまれる	自下一	被拉入、被拽入；被压倒
蚤	のみ	名	跳蚤
飲み込む，呑み込む	のみこむ	他五	吞下；理解、领会
飲み干す	のみほす	他五	喝光、喝干
飲み水	のみみず	名	饮用水
飲み物	のみもの	名	（水、酒、茶等）饮料
飲む，呑む	のむ	他五	喝、喝酒；抽、吸；接受；压倒、胜过；隐匿、隐藏
のめり込む	のめりこむ	自五	（身体）向前倒；陷入
野良	のら	名	原野；农田
野良犬	のらいぬ	名	野狗
海苔	のり	名	紫菜
糊	のり	名	浆糊、胶水
乗り換える	のりかえる	自下一	换乘；改变（主张、方针、所属等）
乗り掛かる	のりかかる	自五	正要赶上；开始
乗り気	のりき	名	感兴趣、起劲
のりくむ	のりくむ	自五	（为工作）同乘一条船
のりこえる	のりこえる	自下一	越过、跨过；超过；克服
乗り越す	のりこす	他五	坐过站、乘过头
乗り込む	のりこむ	自五	乘坐；开进、到达
乗り出す	のりだす	自他五	乘车外出；参与；身体向前探出
乗り場	のりば	名	乘（车、船）的地点
乗物	のりもの	名	交通工具
乗る	のる	自五	乘、坐、骑；登上；和着、附和；乘势、乘机；上当、受骗；附着、上膘
載る	のる	自五	放在上面；刊载、登载
暖簾	のれん	名	写有商号名称、挂在商店门上的窄布帘；商家的信用
鈍い	のろい	形	迟缓的；（头脑）迟钝的
呪う，詛う	のろう	他五	诅咒、咒骂
惚ける	のろける	自下一	津津乐道自己的风流韵事
のろのろ	のろのろ	副，サ変	缓慢、迟缓
呪わしい	のろわしい	形	可憎的、倒霉的
呑気	のんき	名，形動	悠闲的
飲んだくれ	のんだくれ	名	酒鬼、醉鬼
のんびり	のんびり	副，サ変	悠然自得、逍遥自在
葉	は	名	树叶
歯	は	名	牙齿；齿状物、器物的齿
刃	は	名	刃、刀刃
場合	ばあい	名	场合、时候；情况、状态
把握	はあく	名，サ変	把握；理解
敗	はい	名	败、输
肺	はい	名	肺
灰	はい	名	灰
這い上がる	はいあがる	自五	爬上；摆脱困境
廃案	はいあん	名	废案、废弃的提案
灰色	はいいろ	名	灰色；没希望的、阴郁；不鲜明；有渎职嫌疑的
敗因	はいいん	名	失败的原因
廃液	はいえき	名	废液、废水
配下	はいか	名	部下、手下
拝賀	はいが	名，サ変	拜贺、向尊长祝贺
俳諧	はいかい	名	有滑稽趣味的和歌、连歌；俳句
徘徊	はいかい	名，サ変	徘徊
媒介	ばいかい	名，サ変	媒介
廃刊	はいかん	名，サ変	停刊
排気	はいき	名，サ変	排气；排气（蒸汽、瓦斯等）
廃棄	はいき	名，サ変	废弃；废除
配給	はいきゅう	名，サ変	配给、（定量）供应
ばい菌	ばいきん	名	细菌
俳句	はいく	名	俳句
配偶者	はいぐうしゃ	名	配偶
拝啓	はいけい	名	敬启者（书信开头用语）
背景	はいけい	名	背景；舞台等的布景；后盾、靠山
拝見	はいけん	名，サ変	（“見ら”的自谦语）看、瞻仰
背後	はいご	名	背后；背地、幕后
灰皿	はいざら	名	烟灰缸
廃止	はいし	名，サ変	废止、废除、作废
拝借	はいしゃく	名，サ変	（“借りる”的自谦语）借
買収	ばいしゅう	名，サ変	收购；收买
排出	はいしゅつ	名，サ変	排除
輩出	はいしゅつ	名，サ変	辈出、涌现
賠償	ばいしょう	名，サ変	赔偿
排除	はいじょ	名，サ変	排除、排斥
敗色	はいしょく	名	败势、败相
排斥	はいせき	名，サ変	排斥
排泄	はいせつ	名，サ変	排泄
配線	はいせん	名，サ変	配线、架线
敗訴	はいそ	名，サ変	败诉
配送	はいそう	名，サ変	配送
配属	はいぞく	名，サ変	分配（到具体的工作单位）
配達	はいたつ	名，サ変	投递、投送
配置	はいち	名，サ変	配置、安置
配当	はいとう	名，サ変	分配；分红
拝読	はいどく	名，サ変	拜读
背任	はいにん	名，サ変	渎职
配布	はいふ	名，サ変	分发、散发
配分	はいぶん	名，サ変	分配
配役	はいやく	名	分配角色
俳優	はいゆう	名	演员
配慮	はいりょ	名，サ変	照顾、关照
入る	はいる	自五	进入；移动；缩入、太阳落山等；入学、进公司；装进、容纳；进入（某种状态、时期）；包含、含有；看、听
配列，排列	はいれつ	名，サ変	排列
這う	はう	自五	爬；攀缠
蠅	はえ	名	苍蝇
生え抜き	はえぬき	名	土生土长；（创业以来的）原来
映える，栄える	はえる	自下一	照、映照；惹人注目、显眼；映衬
生える	はえる	自下一	生长
羽織	はおり	名	套在和服外的短外套；日式外褂和裙裤、礼装
羽織る	はおる	他五	披上、穿上
墓	はか	名	墓
馬鹿	ばか	名，形動	愚蠢的人；无益的；过分、极端；不好使、不中用；……呆子
破壊	はかい	名，サ変	破坏
葉書	はがき	名	明信片
破格	はかく	名，形動	破格
剥がす	はがす	他五	剥下
博士	はかせ	名	博士；博学之士
捗る	はかどる	自五	顺利进展、推进
果敢ない	はかない	形	虚幻无常的；不能依赖、指望的
鋼	はがね	名	钢铁
捗捗しい	はかばかしい	形	迅速发展；进展顺利
馬鹿馬鹿しい	ばかばかしい	形	无聊、愚蠢
袴	はかま	名	（和服的）裙裤
歯がゆい	はがゆい	形	焦急的、懊悔的、不耐烦的
計らう	はからう	他五	商量；处理、适当处置
秤	はかり	名	秤
計り知れない	はかりしれない	連語	无法估量的
謀	はかりごと	名	计谋、策略
計る	はかる	他五	计算；评价、预测；欺骗、诈骗
図る	はかる	他五	计划；处理、照顾、安排
測る	はかる	他五	测量
量る	はかる	他五	测量、计算
諮る	はかる	他五	咨询、磋商
謀る	はかる	他五	图谋、策划
破棄	はき	名，サ変	废弃、废除、撕毁；撤销（判决）
萩	はぎ	名	（秋季七草之一）胡枝子
吐気	はきけ	名	恶心、做呕；令人不快的
はきはき	はきはき	副，サ変	伶俐、干脆、爽快
波及	はきゅう	名，サ変	波及
破局	はきょく	名	悲剧性的结果
歯切れ	はぎれ	名	牙咬东西的感觉；口齿
穿く，履く	はく	他五	穿鞋、袜等
佩く	はく	他五	佩戴
掃く	はく	他五	扫除；轻涂
吐く	はく	他五	喷出；呕吐、吐出；冒出；说出、吐露；招供
剥ぐ	はぐ	他五	剥；剥夺
博愛	はくあい	名	博爱
白衣	はくい	名	白色的衣服；白衣天使
迫害	はくがい	名，サ変	迫害
博学	はくがく	名，形動	博学
育む	はぐくむ	他五	孵、抱窝；养育；保护、培养
博士	はくし	名、	博士
白紙	はくし	名	白纸；原状；事前没有（成见、准备）
白日	はくじつ	名	太阳、白昼；光天化日
拍手	はくしゅ	名，サ変	拍手
白書	はくしょ	名	白皮书
白状	ｙｔｔｙｙｙ	名，サ変	坦白、交代
薄情	はくじょう	名，形動	薄情
博する	はくする	サ変	获得
莫大	ばくだい	形動	莫大、极大
爆弾	ばくだん	名	炸弹
博打	ばくち	名	赌博；听天由命的试一试
爆竹	ばくちく	名	爆竹
伯仲	はくちゅう	名，サ変	伯仲、不分上下
白鳥	はくちょう	名	白鸟、天鹅
爆発	ばくはつ	名，サ変	爆炸；爆发
幕府	ばくふ	名	幕府
博物館	はくぶつかん	名	博物馆
舶来	はくらい	名，サ変	舶来、进口
博覧	はくらん	名，サ変	多人观览；博览、博闻
薄利	はくり	名	薄利
迫力	はくりょく	名	动人的力量、扣人心弦
歯車	はぐるま	名	齿轮；比喻使组织运转的机械及其成员
はけ口	はけぐち	名	排水口；发泄对象；销路
激しい	はげしい	形	猛烈；剧烈
励ます	はげます	他五	激励；提高嗓门、厉声
励む	はげむ	自五	勤勉、勤奋
捌ける	はける	自下一	排水；售出
剥げる	はげる	自下一	脱落；暴露、败露
禿げる	はげる	自下一	脱落；山光秃秃的
化ける	ばける	自下一	化身为；乔装、冒充；骤变
覇権	はけん	名	霸权；优胜、冠军
派遣	はけん	名，サ変	派遣
箱	はこ	名	箱子；（电车，火车）车厢
羽子板	はごいた	名	毽球板
歯ごたえ	はごたえ	名	嚼头；有干劲、起劲
運び	はこび	名	搬运；移步、前往；进展、行进
運ぶ	はこぶ	自他五	进展；运送；前往；推进
挟まる	はさまる	自五	夹在；加在对立双方中间
鋏，剪刀	はさみ	名	剪刀；剪票钳
挟む	はさむ	他五	夹进、插进；夹；心生……
剪む	はさむ	他五	剪、铰
破産	はさん	名，サ変	破产
橋	はし	名	桥
端	はし	名	头、边缘；片断；零头、断片
箸	はし	名	筷子
恥，辱，羞	はじ	名	丢脸；廉耻新
弾く	はじく	他五	弹跳、弹力；不沾水；弹；打算盘
梯子	はしご	名	梯子；串酒馆、从这家喝到那家
はしたない	はしたない	形	卑鄙、下流
始まる	はじまる	自五	开始；开始（老一套行为）；（后接否定表示）无用、白费劲
始め，初め	はじめ	名	最初；起初；以……为首
始める	はじめる	他下一	开始；开始（老一套的行为）；开始做……
燥ぐ	はしゃぐ	自五	喧闹
場所	ばしょ	名	场所、地方；所占的位置；相扑赛季
柱	はしら	名	支柱；依靠
恥らう	はじらう	自五	害羞
走る	はしる	自五	跑；行驶、奔驰、运行；逃亡；倾向于（不好的方向）；（文笔）流畅；伸展；突然出现
恥じる	はじる	他上一	羞耻、惭愧；（用否定式表示）不愧为
橋渡し	はしわたし	名，サ変	搭桥、从中斡旋
斜	はす	名	斜
蓮	はす	名	莲、荷
筈	はず	名	理所当然；预定
恥ずかしい	はずかしい	形	不好意思的；害羞；感到羞愧
辱める	はずかしめる	他下一	侮辱；玷污
外す	はずす	他五	取下、解开；离席；避开；错过
蓮っ葉	はすっぱ	名，形動	（女人）轻浮、轻佻
弾み	はずみ	名	弹性；劲头；势头、（偶然的）机会；刹那
弾む	はずむ	自他五	弹、反弹；气息变粗；情绪高涨、起劲；（一狠心）拿出很多钱
外れる	はずれる	自下一	脱落、掉下；脱离、不合；未中、落空；相悖、不合（道理等）
派生	はせい	名，サ変	派生
馳せる	はせる	自他下一	跑；驱（车）；缅怀、驰名
破損	はそん	名，サ変	破损
旗	はた	名	旗帜
傍，側	はた	None	侧、旁、旁边
旗色	はたいろ	名	（战争、比赛等的）形势；所属、立脚点
肌，膚	はだ	名	皮肤；物体表面；气质
裸	はだか	名	裸体；身无分文；毫不隐瞒、坦诚
肌着	はだぎ	名	（贴身）内衣
叩く	はたく	他五	掸；拍、打；用光、花光
畑	はたけ	名	田地、旱田；专业领域
旅籠	はたご	名	以前的（饱餐）旅馆
肌触り	はだ触り	名	触感、手感；与人交往时的感觉
裸足	はだし	名	赤足、光着脚；敌不过
果たして	はたして	副	果然果真
果たす	はたす	他五	实现；光、尽
二十，二十歳	はたち	名	二十岁
働き	はたらき	名	工作；机能、作用；才能
働きかける	はたらきかける	自下一	发动；对……做工作
働く	はたらく	自他五	劳动、工作；作用；干坏事
破綻	はたん	名，サ変	破绽、失败
鉢	はち	名	钵；花盆；头盖骨
蜂	はち	名	蜜蜂、蜂
鉢合わせ	はちあわせ	名，サ変	头碰头；邂逅
はちきれる	はちきれる	自下一	满满的、撑破
破竹の勢い	はちくの勢い	連語	破竹之势
鉢巻	はちまき	名	（用布、毛巾等）缠头
波長	はちょう	名	波长
初	はつ	名	最初；（当年）第一次
罰	ばつ	名	惩罚、处罚
発案	はつあん	名，サ変	提议；提案
発育	はついく	名，サ変	发育
発音	はつおん	名，サ変	发音
薄荷	はっか	名	薄荷
二十日	はつか	名	二十号；二十天
発覚	はっかく	名，サ変	暴露、被发现
発揮	はっき	名，サ変	发挥
はっきり	はっきり	副，サ変	清楚；明确；清晰、明了；干脆、断然
罰金	ばっきん	名	罚款
発掘	はっくつ	名，サ変	挖掘；发掘
発見	はっけん	名，サ変	发现
発言	はつげん	名，サ変	发言
発現	はつげん	名，サ変	表现、体现、显现
初恋	はつこい	名	初恋
発酵	はっこう	名，サ変	发酵
発行	はっこう	名，サ変	（图书、报纸等的）发行；（货币、债券等的）发行
発散	はっさん	名，サ変	发散、散发；消散
発射	はっしゃ	名，サ変	发射
発車	はっしゃ	名，サ変	发车、开车
発祥	はっしょう	名，サ変	发源、发祥
抜粋	ばっすい	名，サ変	拔萃、摘录
発する	はっする	サ変	发生；发出；发表
発生	はっせい	名，サ変	发生、出现
発声	はっせい	名，サ変	发声、发音；领唱、领域
発想	はっそう	名，サ変	（思想、诗情等的）表现；主意、构思；（音乐的）表达，表现
発送	はっそう	名，サ変	发送、寄送
罰則	ばっそく	名	惩罚条例
発達	はったつ	名，サ変	（身体、精神等）发育、成长；发达；（低气压、台风的规模）扩大
はったり	はったり	名	虚张声势、故弄玄虚
ばったり	ばったり	副	突然倒下的样子；不期而遇；突然停止
発着	はっちゃく	名，サ変	出发和到达
発注	はっちゅう	名，サ変	订货
抜擢	ばってき	名，サ変	提拔、提升
発展	はってん	名，サ変	发展；（在酒色上）放荡
発電	はつでん	名，サ変	发电
発動	はつどう	名，サ変	发动；行使、动用
発売	はつばい	名，サ変	出售、发售
発病	はつびょう	名，サ変	发病、得病
発表	はっぴょう	名，サ変	发表、表明
初舞台	はつぶたい	名	初登舞台
発奮	はっぷん	名，サ変	发奋、振奋起来
八方	はっぽう	名	四面八方、各方面
抜本	ばっぽん	名	彻底、治本
初耳	はつみみ	名	初次听到
発明	はつめい	名，サ変，形動	发明；聪明、伶俐
初詣で	はつもうで	名	新年后初次惨败（神社、寺院）
溌剌	はつらつ	形動	活泼、精力充沛
果て	はて	名	边际、尽头；最后、末了、结局
派手	はで	形動	鲜艳、华美；铺张、显眼
果てる	はてる	自下一	终、尽、完毕；死；（接动词连用形后）达到极点
破天荒	はてんこう	名，形動	破天荒、未曾有过
鳩	はと	名	鸽
波止場	はとば	名	码头
歯止め	はどめ	名	车闸；制止
花	はな	名	花；樱花；花道；黄金时代；最好的；精华
鼻	はな	名	鼻子；鼻涕
鼻息	はないき	名	用鼻子呼气、鼻息
花形	はながた	名	花纹；名演员；有名的人物、红人
花盛り	はなざかり	名	花盛开；最盛的时候
話	はなし	名	谈话、话题；商量、商谈；故事；传言、谣传；道理；事情
話し合い	はなしあい	名	商量、协商
話し手	はなして	名	说话者、谈天的伙伴；健谈的人
放す	はなす	他五	放开、撤开；放掉、放走
離す	はなす	他五	分离、离开；间隔、隔开
話す	はなす	他五	说、讲；商量、商谈；说（外语等）
鼻血	はなぢ	名	鼻血
放つ	はなつ	他五	派遣；射箭；放；防（火）；放开、解放
鼻つまみ	はなつまみ	名	讨厌（的人）、惹人嫌（的人）
甚だ	はなはだ	副	非常、很
甚だしい	はなはだしい	形	非常、很
華々しい	はなばなしい	形	豪华、辉煌
花火	はなび	名	焰火、烟火
花見	はなみ	名	赏（樱）花
餞	はなむけ	名	饯别、饯行
花婿	はなむこ	名	新郎
華やか	はなやか	形動	引人注目、显赫
華やぐ	はなやぐ	自五	热闹起来、变得辉煌（盛大）起来
花嫁	はなよめ	名	新娘
離れる	はなれる	自下一	有距离、有差距；离开；分离、分开；脱离、背离
放れる	はなれる	自下一	脱开、脱离
離れ業	はなれわざ	名	惊人的技艺、绝技
はにかむ	はにかむ	自五	害臊、羞怯
埴輪	はにわ	名	（日本古代坟墓中的）土俑、陶俑
羽，羽根	はね	名	（鸟和昆虫等德）翅膀；羽毛；（机械等的）翼
発条	ばね	名	发条、弹簧；弹力
羽根突き	はねつき	名	板羽球
跳ね返る	はねかえる	自五	跳回、弹回；反过来影响
撥ね付ける	はねつける	他下一	拒绝
撥ね除ける	はねのける	他下一	推开；淘汰
跳ねる	はねる	自下一	跳；飞溅；散戏、散场；（行情）飞涨
刎ねる	はねる	他下一	砍掉
撥ねる	はねる	他下一	淘汰；提成、攫取；飞溅、撞飞；发拨音
母	はは	名	母亲；事物产生的根源、母
幅	はば	名	宽度；势力、威力；伸缩余地、灵活性；差价、幅度
祖母，婆	ばば	名	祖母、外祖母；老奶奶
母方	ははかた	名	母系
憚る	はばかる	自他五	有势力；顾忌
羽ばたく	はばたく	自五	振翅、拍打翅膀；活跃
幅広い	はばひろい	形	宽广；广泛
阻む	はばむ	他五	阻碍、阻止
蔓延る	はびこる	自五	蔓延；横行、泛滥
省く	はぶく	他五	精简；节省
破片	はへん	名	碎片
浜	はま	名	海滨、湖滨；横滨（的略称）
葉巻	はまき	名	雪茄烟
填まる，嵌まる	はまる	自五	吻合；合适、陷入、掉进；中计
食み出す	はみだす	自五	露出；超出、越出范围
食む	はむ	他五	吃；受禄、食俸
歯向かう，刃向かう	はむかう	自五	反抗
羽目，破目	はめ	名	板壁；困境
破滅	はめつ	名，サ変	灭亡
嵌める，填める	はめる	他下一	镶、嵌；戴上；欺骗
場面	ばめん	名	场面、场景；情景、光景
刃物	はもの	名	刀剑、刃具
波紋	はもん	名	波纹、涟漪；影响
速い	はやい	形	快、迅速
早い	はやい	形	早；为时尚早、还不到时候；时间短、快
早起き	はやおき	名，サ変	早起
早合点	はやがてん	名，サ変	贸然断定、自以为是
早口	はやくち	名	说话快
林	はやし	名	树林
囃子	はやし	名	（能乐、歌舞伎等的）伴奏
生やす	はやす	他五	使生长
囃す	はやす	他五	伴奏；齐声喝彩、呐喊嘲笑
早引け	はやびけ	名，サ変	（由学校、工作地点）早退
早まる	はやまる	自五	提前；仓促、轻率
速める	はやめる	他下一	加快、加速
早める	はやめる	他下一	提前
流行	はやり	名	流行
流行る	はやる	自五	流行；盛行；（疾病等）流行、蔓延；兴旺
原	はら	名	平原、原野
腹	はら	名	腹、肚子；鼓出的部分；内心、想法；度量
薔薇	ばら	名	蔷薇、玫瑰
